sample_id,profile_hint,image_id,image_title,response_text,valid,risk_score,risk_level,critical_flags_count,warning_flags_count,red_flag_types,word_count,sentiment_compound,sentiment_positive,sentiment_negative,liwc_positive_emotion,liwc_negative_emotion,liwc_anxiety,liwc_hopelessness,liwc_death,liwc_isolation,liwc_social,pronoun_i_percentage,pronoun_we_percentage,temporal_future_count,temporal_has_future_orientation,temporal_has_negative_future
s2v2_0029,MODERATE,image_2,Shattered Ascent,"This scene feels tense, and I overthink the future, but I still hope to get better with help.",True,8,LOW,0,0,,9.542379498698551,0.9910765312641439,38.951333807822586,6.23774943385913,3.4051023361799055,0.19226910828351676,7.682552961328132,0.0,0.32196128261713536,0.12164338595479846,0.0,11.521701469787775,0.0,2.555592303677571,True,False
s2v2_0030,HIGH,image_3,Ancestral Embrace,"The picture feels empty and distressing, and I feel there is no point and no way out right now.",True,43,MODERATE,0,0,,20.89003150636458,-1.0,0.0,54.32094013208841,0.0,0.05954996070099239,0.0,0.023624934652741885,0.0,6.843124367015712,0.11202556155096073,5.287707036157265,0.006114128230482192,0.07727727454140576,False,False
s2v2_0031,LOW,image_1,Bonds of the Web,"This picture reminds me of balance, and I can manage stress by talking with family and staying active.",True,26,LOW,0,0,,19.481267484707402,-0.6835844778601182,16.237195907294932,11.730137478789874,0.0,0.028731867220511038,3.956832352682397,0.3702907888926098,0.0,0.0,3.2645616305014284,13.728178238535934,0.0,0.3842336216122733,False,False
s2v2_0032,MODERATE,image_1,Bonds of the Web,"The image feels heavy and uncertain, and I have been worried and stressed with changing mood lately.",True,54,MODERATE,0,0,,15.828318642664026,0.7165817710931988,0.0824886178247122,27.74950514458176,0.026627501155110884,6.003469783106835,15.29778871705825,0.0,0.0030936576249118632,0.049694035935320874,0.0,6.493985680445052,0.13808801623348138,0.05331787555319293,False,False
s2v2_0033,HIGH,image_2,Shattered Ascent,"I relate to fear and emotional pain here, and I feel powerless, defeated, and stuck every day.",True,100,HIGH,1,0,severe_hopelessness,27.85325385106378,-1.0,7.286103155414009,61.26922048931096,0.0,4.332412404799271,0.3070528647224109,14.932448861745256,0.03636704236506639,0.0,0.040178381901385125,16.011859970317463,0.0,0.0,False,False
s2v2_0034,LOW,image_3,Ancestral Embrace,"This picture reminds me of balance, and I can manage stress by talking with family and staying active.",True,26,LOW,0,0,,15.548370610928297,-0.1614743417073205,7.186128276603316,9.275898174931285,0.0,0.0,5.0676273561871685,0.18030812737858715,0.0,0.3252898872952166,4.96076473813825,10.929586879298016,0.10661695250325193,0.0,False,False
s2v2_0035,MODERATE,image_1,Bonds of the Web,"The image feels heavy and uncertain, and I have been worried and stressed with changing mood lately.",True,54,MODERATE,0,0,,19.291212281734275,-0.3002792109162399,0.0,34.44640484749259,0.028063353996849973,5.323315616917212,9.671319132266394,0.48755204793428686,0.0,0.1687647845521416,0.03255321104666716,6.628395198406515,0.0,0.0,False,False
s2v2_0036,HIGH,image_2,Shattered Ascent,"I relate to fear and emotional pain here, and I feel powerless, defeated, and stuck every day.",True,100,HIGH,1,0,severe_hopelessness,16.787555615886248,0.8687430425729634,0.727142705761664,50.947973549465814,0.16790568697234587,5.853594826682085,0.0648282059103679,1.6466804760814937,0.0,0.047806578472510075,0.0,8.662208280193902,0.0,0.051852044416516974,False,False
s2v2_0037,LOW,image_2,Shattered Ascent,I notice hopeful elements in this image and I am planning small goals for the next few months.,True,8,LOW,0,0,,21.693139658226713,0.7676662097979646,18.515738427052067,0.05470124418528408,5.406198774516773,0.11749353633876536,0.1391921948344774,0.0,0.1558818988920574,0.0360697000421752,0.0032062325431539505,11.581837123006753,0.0,2.0233773506553,True,False
s2v2_0038,MODERATE,image_2,Shattered Ascent,"This scene feels tense, and I overthink the future, but I still hope to get better with help.",True,8,LOW,0,0,,28.53279828026021,1.0,9.003583873876874,7.09504051407452,3.8544302761283173,0.0,6.109454840887965,0.1567150376683147,0.0,0.08068789721945108,0.0,9.659196671987466,0.4692485215657809,1.2585353389836302,True,False
s2v2_0039,HIGH,image_1,Bonds of the Web,"I relate to fear and emotional pain here, and I feel powerless, defeated, and stuck every day.",True,100,HIGH,1,0,severe_hopelessness,21.64161237805708,-0.7780269566439907,5.322148804931076,61.14774377830094,0.22057557332910283,5.704592044190817,0.0,11.134221315601861,0.0,0.0,0.03045199132311424,7.708395239914695,0.23559726355725052,0.0,False,False
s2v2_0040,LOW,image_2,Shattered Ascent,"This picture reminds me of balance, and I can manage stress by talking with family and staying active.",True,26,LOW,0,0,,19.325958835880154,-0.7406458913766815,10.674520520028812,12.263166628739286,0.0,0.07969302614978761,6.473280144586676,0.1594431093548447,0.4382738145968511,0.12394147398002425,10.70625193331531,10.771953260733644,0.14947085735699495,0.17367202717845343,False,False
s2v2_0041,MODERATE,image_1,Bonds of the Web,"The image feels heavy and uncertain, and I have been worried and stressed with changing mood lately.",True,54,MODERATE,0,0,,22.967999731339326,-1.0,0.0,56.45654617415842,0.08355390194933116,4.624184156995287,11.090758022366632,0.09805296140469567,0.17433324671049788,0.0,0.09947401171588556,5.716794919028479,0.0,0.0,False,False
s2v2_0042,HIGH,image_1,Bonds of the Web,"I relate to fear and emotional pain here, and I feel powerless, defeated, and stuck every day.",True,100,HIGH,1,0,severe_hopelessness,10.223157976813187,-1.0,8.557014868766998,57.76582903149956,0.26504971458017196,0.46867384287651315,0.20027057115774097,10.841825689337453,0.0,0.3825548308332292,0.0,12.985844554569185,0.0890365763106386,0.13560424575244898,False,False
s2v2_0043,LOW,image_3,Ancestral Embrace,"I feel connected and calm when I look at this image, and I think things can improve with support.",True,33,LOW,0,0,,3.4198136270332307,0.2523306704662478,44.29909822514063,0.0,0.043447587229201515,0.0952078760194483,0.34657901517299494,0.0,0.21067347282388882,0.0,0.0,20.34634055294019,0.0,0.0879735784153006,False,False
s2v2_0044,MODERATE,image_3,Ancestral Embrace,"I see conflict in this picture, and I feel lonely sometimes though I am trying to cope and improve.",True,52,MODERATE,0,0,,25.0022737158855,-0.059498040014654335,6.268563523222025,19.199000178492472,0.035308819269008355,0.0831190814139529,0.012091143772868317,0.19027570599374588,0.04320379142401499,6.307642973637947,0.0,16.76863274211243,0.0,0.051635318480233616,False,False
s2v2_0045,HIGH,image_1,Bonds of the Web,"This image feels overwhelming and dark, and I feel hopeless, isolated, and unable to see any future.",True,54,MODERATE,0,1,moderate_hopelessness,19.010210745143727,-0.3322325910222747,0.0,25.78197137178504,0.08200875441998877,0.0,0.0,6.789888451416172,0.043727804221602155,7.055667302028645,0.0,3.9177988335070193,0.03448811663355071,0.9924231913791862,True,False
s2v2_0046,LOW,image_1,Bonds of the Web,"This picture reminds me of balance, and I can manage stress by talking with family and staying active.",True,26,LOW,0,0,,14.593183910606076,0.05514347593874312,11.869025242589398,10.571846364236656,0.0,0.0,4.81936291873375,0.0,0.0,0.0,5.5017948045229295,1.330283418763859,0.024015991099537393,0.10407438579931738,False,False
s2v2_0047,MODERATE,image_1,Bonds of the Web,"This scene feels tense, and I overthink the future, but I still hope to get better with help.",True,8,LOW,0,0,,14.280124777500145,0.47813933146135557,40.82700056551552,3.34166639399389,4.218740682809468,0.07089990187329441,5.878772111269955,0.12814533976877415,0.03869609237149771,0.06932714606070288,0.16905908392619778,13.604686329153953,0.022529485318682044,1.7816844120385553,True,False
s2v2_0048,HIGH,image_3,Ancestral Embrace,"I relate to fear and emotional pain here, and I feel powerless, defeated, and stuck every day.",True,100,HIGH,1,0,severe_hopelessness,20.54502916074861,-0.5115830768895435,6.521523592223557,65.94673034179263,0.0,7.516729910098295,0.0,7.249211327643549,0.0,0.1316906876800818,0.0,11.427689550499677,0.0,0.12978606381622898,False,False
s2v2_0049,LOW,image_1,Bonds of the Web,"This picture reminds me of balance, and I can manage stress by talking with family and staying active.",True,26,LOW,0,0,,20.591090304798502,-0.19765786717965378,20.746957893893725,14.800087092776671,0.04216388570758577,0.33684303845439934,7.358089307374212,0.07407782531899006,0.0,0.09908720171044248,4.803384238663526,5.743623369388528,0.02142161677995157,0.30634857522855463,False,False
s2v2_0050,MODERATE,image_1,Bonds of the Web,"The image feels heavy and uncertain, and I have been worried and stressed with changing mood lately.",True,54,MODERATE,0,0,,29.556203630282006,-0.6804186534033592,0.0007423345049705698,35.361139900715905,0.0,6.037455948217387,10.09276947998835,0.0,0.0,0.31710381802901677,0.16108571697206198,1.8148386762369944,0.018011388635645605,0.0436042184934683,False,False
s2v2_0051,HIGH,image_1,Bonds of the Web,"This image feels overwhelming and dark, and I feel hopeless, isolated, and unable to see any future.",True,54,MODERATE,0,1,moderate_hopelessness,12.256498618088205,-0.3529410280810691,0.01115199481361392,10.591346305656366,0.1479986108873182,0.23419519804272043,0.0,5.684935234267341,0.040728357853544665,6.034557821249608,0.1345299838829864,5.078943477538206,0.06359725095745154,1.0088592170869501,True,False
s2v2_0052,LOW,image_2,Shattered Ascent,I notice hopeful elements in this image and I am planning small goals for the next few months.,True,8,LOW,0,0,,18.685080511738878,-0.049649002765992045,9.997190734854712,0.17185148931531696,4.619755475205225,0.007893254385554167,0.0,0.02486806086464887,0.046557697553608515,0.0,0.0,10.341741737168654,0.06128215236155207,2.126827450219701,True,False
s2v2_0053,MODERATE,image_3,Ancestral Embrace,"This scene feels tense, and I overthink the future, but I still hope to get better with help.",True,8,LOW,0,0,,16.658208721379975,0.9267620668409983,41.224953146046694,1.1761004910887733,5.634059529900849,0.11168646903902522,9.541563439650105,0.0,0.0,0.0,0.04926044174840805,13.975319974266437,0.10447915516206728,1.7324891669371643,True,False
s2v2_0054,HIGH,image_2,Shattered Ascent,"This image feels overwhelming and dark, and I feel hopeless, isolated, and unable to see any future.",True,54,MODERATE,0,1,moderate_hopelessness,12.25062731825751,-0.37092723219744744,0.058392879085513855,29.273159134290466,0.02945330221565149,0.0,0.0,4.138415449215254,0.027021117551886575,5.187064876319271,0.0,5.692129248545478,0.0,0.991716985614538,True,False
s2v2_0055,LOW,image_2,Shattered Ascent,"This picture reminds me of balance, and I can manage stress by talking with family and staying active.",True,26,LOW,0,0,,24.073857164818172,0.08667394572552271,11.495408051312332,16.04427463439292,0.044451859186001016,0.0,6.265546753426526,0.0662167930534661,0.0,0.0014636285784861475,3.7884430289191933,14.350911173496934,0.0,0.1381423394732792,False,False
s2v2_0056,MODERATE,image_1,Bonds of the Web,"The image feels heavy and uncertain, and I have been worried and stressed with changing mood lately.",True,54,MODERATE,0,0,,18.99112380320931,-0.4085749408736793,0.1537668264917662,30.985621772206503,0.0,6.150741185369228,12.76696067433069,0.020674177897703302,0.037097738964080584,0.06062985099588697,0.15271343366965684,6.627043887357976,0.0,0.0,False,False
s2v2_0057,HIGH,image_3,Ancestral Embrace,"This image feels overwhelming and dark, and I feel hopeless, isolated, and unable to see any future.",True,54,MODERATE,0,1,moderate_hopelessness,18.208788050698736,-0.714647114601275,0.12215892472638884,35.264175319600454,0.0,0.0,0.01291905864906961,3.7304565501067373,0.3550649733125851,5.160557818573896,0.0,6.341275072808581,0.2585915752464918,0.9054757966386993,True,False
s2v2_0058,LOW,image_2,Shattered Ascent,I notice hopeful elements in this image and I am planning small goals for the next few months.,True,8,LOW,0,0,,13.027341253531912,0.8201088514033956,13.43094510726769,0.06865072698187569,4.590258215523666,0.0,0.006007447892797086,0.0,0.0,0.0,0.0792602941106224,7.43625092203172,0.0,0.6409294782974355,True,False
s2v2_0059,MODERATE,image_2,Shattered Ascent,"I see conflict in this picture, and I feel lonely sometimes though I am trying to cope and improve.",True,52,MODERATE,0,0,,25.29555834926693,0.024889574691866395,11.560803866950565,25.937095509138935,0.0,0.20451385056805882,0.019681940750987836,0.0,0.11967858793394968,6.0188629217340575,0.04478659584011847,17.38308081368751,0.1787843658796438,0.001256069067918586,False,False
s2v2_0060,HIGH,image_3,Ancestral Embrace,"I relate to fear and emotional pain here, and I feel powerless, defeated, and stuck every day.",True,100,HIGH,1,0,severe_hopelessness,21.255786384689817,-0.7127637399046709,5.84132364166894,60.166111228859286,0.0,7.148856122738238,0.09490713153704305,13.414936018011716,0.08061083021829492,0.0,0.34941652081299973,12.252982758528843,0.026856676171152366,0.0,False,False
s2v2_0061,LOW,image_1,Bonds of the Web,"This picture reminds me of balance, and I can manage stress by talking with family and staying active.",True,26,LOW,0,0,,10.972343769403713,0.6994925225984887,8.692708738247367,15.81321579539712,0.12327240346640772,0.0,3.8441766376699413,0.07657823524721316,0.08928069921821147,0.04497596834021616,4.89319770883467,9.250286292051756,0.26554618257061946,0.0,False,False
s2v2_0062,MODERATE,image_2,Shattered Ascent,"This scene feels tense, and I overthink the future, but I still hope to get better with help.",True,8,LOW,0,0,,13.582749385684867,0.8832870889368054,45.73489023845231,3.077389576662007,6.790425038406665,0.08062652888149235,6.199384323821607,0.0,0.1602290007119393,0.05908051850278612,0.03320193795968124,10.628983627848415,0.0,1.343259503113437,True,False
s2v2_0063,HIGH,image_2,Shattered Ascent,"This image feels overwhelming and dark, and I feel hopeless, isolated, and unable to see any future.",True,54,MODERATE,0,1,moderate_hopelessness,22.384999967466875,-0.4959265918036222,0.3346197478580245,26.060886028342168,0.0,0.020185869274170556,0.0,5.741751280252425,0.0536998153461722,5.438548852038561,0.0,5.6015381862559686,0.09840838779968226,0.778084695448043,True,False
s2v2_0064,LOW,image_2,Shattered Ascent,"This picture reminds me of balance, and I can manage stress by talking with family and staying active.",True,26,LOW,0,0,,18.25632784042455,0.5336118314750701,15.272467618610266,16.921611165578412,0.0,0.005035775728336161,7.760857612697531,0.12423130559935974,0.0,0.0,6.548320095022451,9.702833095622326,0.0,0.308523598460541,False,False
s2v2_0065,MODERATE,image_1,Bonds of the Web,"This scene feels tense, and I overthink the future, but I still hope to get better with help.",True,8,LOW,0,0,,14.079021265353939,0.8113384937327195,39.45344268075565,6.548801351582594,6.7146731254781535,0.18039363411960463,5.717684096407688,0.0,0.048451457581488805,0.08491134312180874,0.027446512978884854,8.435135452397505,0.07378257976430577,1.715191579827001,True,False
s2v2_0066,HIGH,image_3,Ancestral Embrace,"The picture feels empty and distressing, and I feel there is no point and no way out right now.",True,43,MODERATE,0,0,,9.66259505196978,-0.8974554912384379,0.12156010820186786,35.12702683328388,0.0,0.0,0.0,0.3228767849974424,0.027225707107463127,4.948311518919792,0.0,6.37773252100136,0.01969096453355962,0.34727125492044814,False,False
s2v2_0067,LOW,image_3,Ancestral Embrace,"This picture reminds me of balance, and I can manage stress by talking with family and staying active.",True,26,LOW,0,0,,19.062839980076586,-0.33217480960139156,15.287742579238515,12.052656547099797,0.011043562725434448,0.008405917717320216,8.620619588334256,0.0,0.0,0.0,4.608506633292464,10.940742865674515,0.06362077730496099,0.35821251771828944,False,False
s2v2_0068,MODERATE,image_2,Shattered Ascent,"The image feels heavy and uncertain, and I have been worried and stressed with changing mood lately.",True,54,MODERATE,0,0,,15.416127529302084,-0.8352330937954546,0.05306045938472397,13.867516027467335,0.4187221206116127,4.130486102580434,9.424424180898114,0.0,0.0,0.011794285549982986,0.0,7.958944406301821,0.0,0.0,False,False
s2v2_0069,HIGH,image_3,Ancestral Embrace,"I relate to fear and emotional pain here, and I feel powerless, defeated, and stuck every day.",True,100,HIGH,1,0,severe_hopelessness,17.04777690306072,-0.7204455634568444,6.5942237787460165,56.68651470446923,0.0,6.722960927806154,0.1160867350656252,13.506282647339155,0.0,0.0,0.007347466233314813,11.011553601876697,0.08419942759895978,0.0,False,False
s2v2_0070,LOW,image_2,Shattered Ascent,I notice hopeful elements in this image and I am planning small goals for the next few months.,True,8,LOW,0,0,,10.512398583644803,0.7605287231514617,17.0311988054692,0.05065779676173169,5.904982042207388,0.0,0.0,0.025785670222117408,0.0,0.0,0.07447344536149458,13.137776452961347,0.0,1.9602583293217093,True,False
s2v2_0071,MODERATE,image_3,Ancestral Embrace,"I see conflict in this picture, and I feel lonely sometimes though I am trying to cope and improve.",True,52,MODERATE,0,0,,17.680929924253544,-0.19851900686555346,11.147856232472858,22.454034894242714,0.0,0.0,0.034029045226777806,0.04171383606565768,0.038651683504178594,5.143951846962693,0.03863999761034845,16.38084673890953,0.08024295215008198,0.0,False,False
s2v2_0072,HIGH,image_3,Ancestral Embrace,"The picture feels empty and distressing, and I feel there is no point and no way out right now.",True,43,MODERATE,0,0,,17.442492641186195,-0.9766591708142813,0.022419458860531438,9.715594792421701,0.19854860559421872,0.16411426699155413,0.029545299478595743,0.0,0.22490079575138242,6.156407389404622,0.07578756808873269,6.723808887246106,0.3577544634045304,0.0,False,False
s2v2_0073,LOW,image_2,Shattered Ascent,I notice hopeful elements in this image and I am planning small goals for the next few months.,True,8,LOW,0,0,,19.572292711539024,0.3973426430615855,5.72909839390466,0.1246252146141491,6.63301980734926,0.0505436460423901,0.0,0.07499480479033042,0.0,0.014950324132853243,0.0,10.947204324004234,0.0,2.0538961638722517,True,False
s2v2_0074,MODERATE,image_2,Shattered Ascent,"The image feels heavy and uncertain, and I have been worried and stressed with changing mood lately.",True,54,MODERATE,0,0,,18.54426686139692,-1.0,0.07660197813128798,23.396037376319768,0.25899438374706807,6.997870963618274,12.83581132246061,0.0,0.17074577089122217,0.14351702888928194,0.05489683239713165,5.084115154821375,0.16389559014449515,0.016777500649379162,False,False
